"DMSO_1"	"DMSO_2"	"DMSO_3"	"DMSO_4"	"DRUGX_1"	"DRUGX_2"	"DRUGX_3"	"DRUGX_4"
"ENSG00000189233.12"	6	0	7	12	3	2	0	7
"ENSG00000137497.19"	5291	4907	5035	4959	3247	3513	3090	3474
"ENSG00000133961.21"	1061	958	1052	974	1206	1298	1213	1085
"ENSG00000105245.9"	710	634	683	769	756	910	822	786
"ENSG00000111581.10"	1292	1227	1469	1430	393	487	454	370
"ENSG00000069248.12"	1242	1052	1259	1203	883	992	912	771
"ENSG00000124789.12"	2365	1990	2115	2214	1365	1394	1170	1098
"ENSG00000113569.16"	2052	1517	1712	1748	659	765	758	642
"ENSG00000030066.14"	1123	1069	1112	1069	503	553	521	541
"ENSG00000095319.14"	3382	2898	3104	2966	1575	1690	1583	1396
"ENSG00000155561.15"	2904	2449	2727	2622	1185	1196	1150	1103
"ENSG00000132182.13"	2033	1744	1751	1838	645	658	615	689
"ENSG00000143552.10"	1	1	0	2	0	0	3	0
"ENSG00000248916.1"	2	0	0	0	0	0	0	0
"ENSG00000126883.19"	1580	1342	1297	1296	883	962	828	879
"ENSG00000163002.13"	360	294	321	303	136	127	161	95
"ENSG00000226285.1"	0	0	0	0	0	0	0	1
"ENSG00000075188.9"	550	422	530	613	180	236	208	177
"ENSG00000136243.18"	373	333	417	377	344	346	364	328
"ENSG00000120253.14"	1160	1061	1128	1114	562	685	621	491
"ENSG00000093000.19"	2470	2143	2551	2443	1293	1305	1186	1115
"ENSG00000138750.16"	661	599	785	680	291	321	296	273
"ENSG00000139496.18"	2058	1825	2099	2005	1082	1149	1115	944
"ENSG00000213024.13"	2723	2678	2858	2719	1245	1230	1139	1199
"ENSG00000198088.10"	0	0	0	0	0	0	0	1
"ENSG00000125450.11"	902	873	1086	948	355	327	413	317
"ENSG00000108559.13"	1404	1191	1312	1410	764	840	921	697
"ENSG00000102900.13"	1577	1461	1747	1717	849	1005	926	778
"ENSG00000110713.18"	3188	2709	2984	2916	2010	2116	2036	1902
"ENSG00000176046.9"	630	731	821	818	699	769	775	789
"ENSG00000185290.4"	5	1	2	5	0	3	3	6
"ENSG00000153989.8"	1711	1482	1855	1629	1447	1694	1654	1377
"ENSG00000137804.14"	2017	1712	2149	2050	40	57	43	45
"ENSG00000102898.13"	1912	2121	2361	2284	2077	2337	2304	1859
"ENSG00000258300.2"	1	0	0	0	0	1	0	1
"ENSG00000259710.1"	0	0	0	0	0	0	0	0
"ENSG00000184507.16"	0	0	0	0	0	0	0	0
"ENSG00000184923.12"	60	32	54	19	24	20	24	27
"ENSG00000188199.11"	38	21	31	24	16	15	13	32
"ENSG00000214562.15"	102	109	93	94	123	147	102	141
"ENSG00000228570.8"	435	400	418	473	402	390	440	376
"ENSG00000130950.15"	0	0	0	0	0	0	0	0
"ENSG00000188152.13"	21	13	18	22	8	5	3	8
"ENSG00000232706.3"	0	2	1	1	1	0	0	0
"ENSG00000143748.18"	368	396	510	462	300	322	338	285
"ENSG00000188039.16"	3	5	0	4	3	6	4	5
"ENSG00000162231.14"	1269	1240	1199	1243	1053	1206	963	1065
"ENSG00000147206.17"	2	5	5	12	10	9	15	14
"ENSG00000167693.17"	351	330	366	413	327	348	351	340
"ENSG00000281300.1"	3	0	1	0	0	0	0	0
"ENSG00000130045.17"	21	17	23	25	16	17	11	20
"ENSG00000204361.10"	0	0	0	0	0	1	0	0
"ENSG00000144815.18"	1884	1453	1689	1673	2243	2534	2344	2124
"ENSG00000137634.10"	0	0	0	0	0	0	0	0
"ENSG00000144227.5"	18	2	9	1	0	6	0	1
"ENSG00000182575.8"	33	22	31	22	8	6	4	15
"ENSG00000182379.10"	167	162	201	166	101	148	133	102
"ENSG00000132661.4"	305	405	404	427	194	176	197	151
"ENSG00000101888.12"	162	140	148	163	75	62	89	74
"ENSG00000166924.9"	4	8	7	2	2	3	3	4
"ENSG00000144460.13"	7	2	3	2	5	3	2	6
"ENSG00000205978.6"	14	14	3	9	9	13	10	9
"ENSG00000184232.9"	1303	1328	1456	1384	1417	1717	1704	1468
"ENSG00000124596.17"	240	216	282	271	130	132	156	136
"ENSG00000089127.15"	91	46	43	41	30	45	34	43
"ENSG00000111335.14"	9	4	2	5	2	8	1	3
"ENSG00000111331.14"	807	673	724	725	178	179	145	133
"ENSG00000135114.14"	11	6	2	6	1	5	7	0
"ENSG00000065154.12"	3217	3017	3583	3658	4040	4447	4484	3802
"ENSG00000104904.12"	9734	10320	12175	11741	10070	11818	11684	9922
"ENSG00000180304.14"	1921	1871	2070	2133	2317	2574	2372	2248
"ENSG00000143450.19"	28	28	20	15	31	40	39	31
"ENSG00000152193.8"	437	375	500	451	218	230	206	189
"ENSG00000154358.23"	174	135	122	124	184	172	156	215
"ENSG00000124006.15"	3235	3234	3587	3562	4700	5229	4934	4915
"ENSG00000099330.9"	98	104	121	95	99	107	117	99
"ENSG00000109180.15"	1392	1447	1642	1533	1619	1829	1660	1487
"ENSG00000145247.12"	611	582	730	735	725	868	843	752
"ENSG00000197822.12"	65	73	76	79	59	71	79	59
"ENSG00000273814.4"	55	29	19	23	15	13	9	20
"ENSG00000230847.4"	1	5	0	3	0	0	0	3
"ENSG00000122543.11"	0	0	0	0	0	0	0	0
"ENSG00000135175.6"	0	0	0	0	0	1	0	0
"ENSG00000122126.18"	1104	885	1011	1005	1261	1387	1186	1123
"ENSG00000105479.16"	4	3	6	1	0	0	2	11
"ENSG00000169126.16"	32	38	48	47	28	43	29	17
"ENSG00000198003.12"	5	9	9	8	1	13	7	10
"ENSG00000204815.10"	11	12	17	21	5	8	3	8
"ENSG00000174792.11"	4	4	4	2	3	1	3	5
"ENSG00000115758.14"	7343	7020	8452	8184	4935	5719	5753	4849
"ENSG00000244556.1"	1	5	2	2	3	3	0	1
"ENSG00000136811.17"	1089	1031	1117	1027	508	575	454	451
"ENSG00000122417.16"	470	424	445	337	410	435	376	367
"ENSG00000177947.15"	0	0	0	0	0	0	0	0
"ENSG00000177989.14"	9	9	11	14	1	5	7	6
"ENSG00000182950.3"	1	1	2	2	2	2	1	6
"ENSG00000181781.10"	2	3	5	7	3	6	7	8
"ENSG00000157181.16"	278	242	286	233	251	300	270	242
"ENSG00000181355.21"	0	2	1	0	0	0	1	0
"ENSG00000046651.16"	448	376	359	349	301	390	303	306
"ENSG00000228212.1"	0	1	3	0	0	1	2	0
"ENSG00000198408.14"	3096	2707	3100	3041	3309	3887	3403	3429
"ENSG00000105953.16"	2358	2325	2386	2509	2938	3313	3044	3000
"ENSG00000197444.10"	0	3	3	2	4	5	15	3
"ENSG00000087263.17"	1216	1242	1312	1266	1438	1597	1645	1301
"ENSG00000231665.1"	0	0	0	0	1	0	3	0
"ENSG00000111325.16"	247	280	310	299	310	378	353	309
"ENSG00000181396.13"	810	904	967	960	941	1052	1032	969
"ENSG00000060491.17"	918	1048	1224	1078	943	1025	1000	988
"ENSG00000119900.9"	1522	1359	1546	1446	1465	1728	1514	1364
"ENSG00000114026.22"	468	464	491	495	252	292	296	283
"ENSG00000106809.11"	2	0	0	0	0	0	0	0
"ENSG00000147162.15"	3200	2623	2858	2465	3216	3672	2573	3099
"ENSG00000104147.9"	288	252	323	322	11	28	16	15
"ENSG00000138315.13"	0	1	0	3	3	0	1	2
"ENSG00000138430.16"	1901	1635	1971	1930	1618	1863	1860	1369
"ENSG00000213671.3"	7	4	4	7	0	1	2	0
"ENSG00000257966.1"	9	0	3	4	5	6	7	2
"ENSG00000152463.15"	3	0	1	1	0	1	2	0
"ENSG00000105088.9"	1	2	1	1	1	0	3	3
"ENSG00000224295.3"	0	0	1	1	1	0	1	2
"ENSG00000185585.20"	585	581	524	555	226	254	171	249
"ENSG00000162745.11"	31	21	28	37	8	17	12	6
"ENSG00000116774.12"	18	22	20	22	30	28	41	18
"ENSG00000205927.5"	0	0	1	0	0	0	0	0
"ENSG00000162600.12"	149	130	133	141	126	120	119	109
"ENSG00000127083.8"	5	3	0	1	0	0	0	0
"ENSG00000126861.5"	3	6	2	0	1	4	2	3
"ENSG00000254550.1"	2	1	0	1	0	1	0	3
"ENSG00000169856.9"	0	0	0	0	0	0	0	0
"ENSG00000119547.6"	19	7	4	16	14	14	8	10
"ENSG00000205922.5"	0	0	0	1	1	0	0	1
"ENSG00000285029.1"	0	0	1	0	0	0	0	0
"ENSG00000263749.2"	0	0	0	0	0	1	0	1
"ENSG00000198836.11"	1976	1608	2010	1883	1683	1825	1828	1392
"ENSG00000125741.6"	882	775	804	829	819	864	803	848
"ENSG00000197430.11"	0	0	0	0	0	0	0	0
"ENSG00000183715.15"	0	0	4	1	1	6	5	2
"ENSG00000079482.14"	980	788	826	768	859	1056	915	960
"ENSG00000102076.10"	0	0	0	0	0	0	0	0
"ENSG00000268221.6"	0	0	0	0	0	0	6	0
"ENSG00000128617.3"	0	0	0	1	4	0	0	0
"ENSG00000054277.14"	823	798	851	888	1669	1998	1938	1508
"ENSG00000122375.13"	0	2	0	0	0	0	0	0
"ENSG00000124818.15"	0	0	2	0	0	0	0	0
"ENSG00000116329.12"	2	1	7	5	2	4	1	4
"ENSG00000082556.14"	0	0	0	0	0	2	0	0
"ENSG00000125510.18"	6	0	0	0	0	5	0	5
"ENSG00000277044.3"	0	3	2	0	1	0	4	0
"ENSG00000112038.18"	10	8	2	0	3	3	2	2
"ENSG00000171199.11"	0	1	0	0	0	0	0	0
"ENSG00000188770.10"	0	3	1	0	0	0	0	2
"ENSG00000123240.17"	1599	1438	1711	1685	2104	2378	2049	1954
"ENSG00000170790.6"	6	12	7	8	6	2	8	7
"ENSG00000281680.2"	2	1	0	1	0	2	1	1
"ENSG00000280899.3"	0	0	0	0	0	2	0	0
"ENSG00000174970.5"	0	1	0	0	0	1	0	0
"ENSG00000169208.3"	6	6	10	5	4	12	4	8
"ENSG00000254737.3"	1	3	1	4	2	2	0	2
"ENSG00000186723.4"	32	42	38	12	29	39	25	32
"ENSG00000172519.10"	10	2	7	2	3	6	4	3
"ENSG00000196184.10"	3	0	1	0	0	1	2	0
"ENSG00000158731.2"	0	0	0	0	0	0	0	0
"ENSG00000173285.5"	24	6	12	11	7	7	4	8
"ENSG00000255538.1"	0	0	0	0	0	0	0	0
"ENSG00000254403.1"	1	0	0	0	0	0	0	1
"ENSG00000198967.5"	2	0	3	2	1	0	0	3
"ENSG00000223898.8"	3	2	0	2	0	0	0	0
"ENSG00000196832.5"	6	7	2	4	9	6	4	5
"ENSG00000258806.2"	0	0	0	0	0	0	0	1
"ENSG00000188712.4"	0	0	0	0	1	0	0	0
"ENSG00000204695.4"	64	67	57	46	67	55	62	73
"ENSG00000172146.4"	74	41	55	42	44	49	48	29
"ENSG00000280094.3"	0	0	0	0	0	0	1	0
"ENSG00000184166.3"	13	9	25	7	6	7	16	11
"ENSG00000168124.3"	8	3	5	10	9	8	7	11
"ENSG00000220721.3"	0	0	0	0	0	0	0	0
"ENSG00000203581.7"	0	0	0	0	0	2	0	4
"ENSG00000094661.3"	9	7	8	3	4	4	4	4
"ENSG00000171459.4"	0	0	0	0	0	0	0	0
"ENSG00000171496.5"	0	2	0	0	0	1	0	0
"ENSG00000221970.4"	7	5	5	2	10	0	3	4
"ENSG00000285105.1"	0	4	2	1	0	10	0	0
"ENSG00000221858.3"	0	0	0	0	0	0	0	1
"ENSG00000273234.1"	0	1	0	0	1	0	1	0
"ENSG00000170356.10"	52	45	64	65	41	85	57	61
"ENSG00000221933.3"	0	0	1	0	0	0	0	0
"ENSG00000183122.6"	0	0	0	0	0	0	0	0
"ENSG00000212807.3"	19	9	9	6	13	11	13	13
"ENSG00000284836.1"	0	3	0	0	0	0	0	0
"ENSG00000284896.1"	10	7	9	9	3	6	2	7
"ENSG00000243896.4"	8	5	3	11	12	8	13	19
"ENSG00000284749.2"	0	3	6	0	0	0	0	0
"ENSG00000244623.2"	0	0	1	0	0	0	0	0
"ENSG00000279486.6"	0	1	0	1	1	0	0	0
"ENSG00000188124.4"	0	0	0	2	0	0	0	1
"ENSG00000179615.3"	1	0	0	1	0	0	0	1
"ENSG00000171561.4"	2	1	8	1	2	0	0	1
"ENSG00000177535.10"	31	27	25	19	15	19	31	22
"ENSG00000168131.4"	0	0	3	1	0	0	0	0
"ENSG00000124657.1"	2	1	2	1	0	0	0	0
"ENSG00000168158.4"	0	0	0	0	0	0	0	0
"ENSG00000284866.1"	0	0	0	0	0	1	0	1
"ENSG00000221910.3"	0	0	0	0	1	0	0	0
"ENSG00000188558.7"	10	8	9	7	7	9	7	3
"ENSG00000204657.4"	0	2	0	0	0	0	0	1
"ENSG00000204700.5"	0	0	0	0	0	1	0	0
"ENSG00000171133.4"	0	0	0	1	0	0	0	0
"ENSG00000203663.4"	23	5	20	17	16	8	8	10
"ENSG00000228198.3"	17	14	12	16	11	17	10	12
"ENSG00000171180.3"	0	3	4	0	0	0	0	0
"ENSG00000228307.3"	0	0	0	0	0	1	0	0
"ENSG00000177201.3"	5	3	8	8	3	4	10	4
"ENSG00000197067.7"	0	0	1	0	0	2	0	0
"ENSG00000177212.4"	5	1	1	4	3	1	1	2
"ENSG00000177462.9"	0	0	0	0	3	0	0	0
"ENSG00000185372.4"	5	3	4	0	2	5	2	2
"ENSG00000168126.3"	0	0	2	0	0	0	0	0
"ENSG00000221882.5"	5	6	4	2	2	0	2	2
"ENSG00000159961.3"	0	1	0	0	0	0	0	0
"ENSG00000237388.3"	0	0	0	0	0	0	0	0
"ENSG00000172742.6"	3	2	0	5	0	6	0	5
"ENSG00000232459.1"	0	0	0	0	0	0	0	2
"ENSG00000182854.8"	0	0	0	1	0	1	0	0
"ENSG00000176695.8"	183	134	145	101	170	221	127	176
"ENSG00000176269.4"	0	0	0	0	0	1	2	0
"ENSG00000257109.3"	0	1	0	0	0	0	0	0
"ENSG00000230178.1"	0	0	0	0	0	0	0	0
"ENSG00000266971.1"	0	0	0	0	0	0	0	0
"ENSG00000282137.1"	0	0	0	0	0	1	0	0
"ENSG00000268020.3"	0	0	0	0	0	0	0	0
"ENSG00000288123.1"	1	0	0	0	1	0	0	0
"ENSG00000176253.4"	2	0	0	0	0	0	1	0
"ENSG00000176230.7"	11	5	17	6	9	11	7	21
"ENSG00000165762.3"	2	2	0	0	1	0	0	0
"ENSG00000181927.4"	2	0	0	0	0	0	0	0
"ENSG00000167355.8"	0	0	0	0	1	0	0	0
"ENSG00000197674.8"	0	0	3	0	0	0	0	0
"ENSG00000167332.9"	19	13	18	19	21	21	30	14
"ENSG00000176798.3"	0	0	0	0	0	0	0	0
"ENSG00000184698.5"	3	0	2	0	5	4	2	5
"ENSG00000182070.7"	2	1	1	0	1	0	0	1
"ENSG00000231049.3"	0	1	0	1	0	0	0	0
"ENSG00000180974.5"	7	2	3	2	1	0	1	0
"ENSG00000196778.4"	5	3	2	3	1	4	0	0
"ENSG00000181001.3"	6	1	2	2	3	2	9	0
"ENSG00000181009.5"	0	0	0	0	0	0	0	0
"ENSG00000233646.1"	0	0	0	0	0	0	0	0
"ENSG00000232381.1"	0	0	0	0	0	2	0	0
"ENSG00000249633.1"	0	2	0	0	0	0	0	0
"ENSG00000175485.3"	5	0	0	0	0	0	0	0
"ENSG00000231548.2"	0	0	0	1	0	0	0	0
"ENSG00000180934.7"	0	0	0	0	0	0	0	0
"ENSG00000183389.5"	4	5	1	1	2	2	2	1
"ENSG00000181023.8"	0	0	0	0	0	0	0	0
"ENSG00000172320.4"	13	2	9	6	4	6	6	7
"ENSG00000172324.6"	6	5	5	2	5	2	5	4
"ENSG00000176495.3"	0	0	0	0	0	0	0	1
"ENSG00000181785.3"	74	42	54	73	48	50	40	54
"ENSG00000169327.5"	5	4	4	2	0	5	3	0
"ENSG00000255431.1"	0	0	0	0	0	2	0	0
"ENSG00000280497.1"	0	0	0	0	0	0	0	0
"ENSG00000281056.1"	0	0	0	0	0	0	1	1
"ENSG00000236032.3"	6	6	3	1	0	4	3	2
"ENSG00000232382.2"	1	0	0	0	0	0	0	0
"ENSG00000231861.3"	0	0	1	0	0	0	0	0
"ENSG00000278253.1"	0	0	0	0	0	2	0	0
"ENSG00000184933.6"	1	2	0	1	0	0	0	0
"ENSG00000182083.8"	0	0	0	0	0	0	0	2
"ENSG00000178586.7"	0	0	0	0	0	0	0	0
"ENSG00000179626.4"	2	0	0	0	0	0	0	0
"ENSG00000197706.5"	135	93	95	90	59	52	67	57
"ENSG00000187857.5"	0	0	0	0	2	0	1	0
"ENSG00000224402.2"	92	82	109	84	62	102	82	77
"ENSG00000235213.1"	2	2	1	0	1	2	1	6
"ENSG00000255804.2"	8	17	5	11	8	9	14	10
"ENSG00000233685.1"	0	0	0	0	0	0	3	4
"ENSG00000273327.1"	6	6	2	1	3	5	0	6
"ENSG00000197532.3"	1	2	2	7	5	1	5	5
"ENSG00000185385.5"	34	29	33	31	25	33	30	40
"ENSG00000272963.1"	1	0	0	0	0	0	0	0
"ENSG00000127530.4"	14	13	10	6	1	7	6	7
"ENSG00000188000.6"	3	6	1	3	0	2	3	3
"ENSG00000174667.4"	2	0	2	0	1	1	1	1
"ENSG00000168992.4"	0	2	0	0	1	2	0	1
"ENSG00000258550.1"	0	0	0	0	0	0	0	0
"ENSG00000238161.1"	1	0	1	0	0	3	0	1
"ENSG00000177306.4"	0	0	0	0	0	4	0	1
"ENSG00000254593.1"	0	1	5	1	0	3	0	0
"ENSG00000228915.3"	8	4	3	7	3	2	2	4
"ENSG00000189398.5"	0	0	0	0	0	0	0	0
"ENSG00000197882.3"	8	4	4	1	4	6	4	6
"ENSG00000184669.11"	16	9	12	7	1	0	2	10
"ENSG00000285474.1"	4	10	6	6	7	0	4	0
"ENSG00000254715.3"	0	0	0	0	0	0	0	0
"ENSG00000254917.1"	0	0	0	0	0	0	1	0
"ENSG00000251178.1"	0	0	0	0	0	2	0	0
"ENSG00000179799.10"	0	0	0	0	0	0	0	0
"ENSG00000228433.2"	0	0	0	0	0	1	0	0
"ENSG00000237521.4"	0	0	0	0	0	2	0	0
"ENSG00000228547.5"	0	3	0	0	0	0	0	0
"ENSG00000251491.2"	0	0	0	0	0	0	0	0
"ENSG00000255203.1"	5	0	1	0	2	7	1	3
"ENSG00000183444.10"	84	84	85	100	126	128	163	79
"ENSG00000257542.6"	0	0	0	0	0	0	0	2
"ENSG00000239978.1"	0	0	0	0	0	2	0	0
"ENSG00000250561.2"	0	0	0	0	0	1	0	1
"ENSG00000243674.1"	0	0	0	0	0	0	0	0
"ENSG00000238228.1"	17	9	11	6	6	7	11	16
"ENSG00000284689.1"	0	0	0	1	1	0	1	0
"ENSG00000205847.7"	0	0	0	0	0	0	0	2
"ENSG00000227013.3"	1	0	0	0	0	1	0	0
"ENSG00000170923.4"	2	2	0	5	2	3	1	5
"ENSG00000273336.1"	1	0	0	0	0	1	0	2
"ENSG00000196119.8"	17	11	14	7	2	3	3	2
"ENSG00000254976.1"	0	0	0	0	0	0	0	0
"ENSG00000255425.6"	0	0	0	0	0	0	0	0
"ENSG00000240031.2"	1	0	0	0	0	0	0	0
"ENSG00000228336.2"	13	11	23	9	8	8	14	14
"ENSG00000186508.4"	0	0	0	0	0	0	0	0
"ENSG00000196534.5"	1	0	1	4	0	1	7	0
"ENSG00000276045.4"	584	633	714	664	757	895	842	847
"ENSG00000160991.17"	1910	2024	2104	2306	2527	2657	2566	2417
"ENSG00000175938.7"	379	325	467	402	543	657	578	532
"ENSG00000085840.13"	493	499	539	531	34	52	49	40
"ENSG00000115942.9"	737	638	785	721	435	522	454	403
"ENSG00000135336.16"	538	464	528	531	377	442	494	385
"ENSG00000115947.14"	640	569	559	628	510	535	559	420
"ENSG00000164815.11"	398	399	454	432	317	311	310	268
"ENSG00000091651.9"	915	922	1043	950	208	300	201	199
"ENSG00000128699.14"	798	653	833	758	728	931	762	643
"ENSG00000123353.10"	467	521	567	574	634	698	680	645
"ENSG00000172057.10"	693	748	880	866	1094	1261	1177	1044
"ENSG00000135506.17"	3197	3319	3630	3777	4593	5269	4876	4563
"ENSG00000110048.12"	1290	1124	1264	1291	1541	1706	1594	1683
"ENSG00000184792.16"	113	125	112	104	145	170	140	159
"ENSG00000144645.16"	774	726	696	699	736	793	742	737
"ENSG00000144909.8"	713	516	611	654	552	534	548	497
"ENSG00000141447.19"	976	796	1022	962	980	1122	991	957
"ENSG00000130703.17"	504	453	474	444	549	597	523	565
"ENSG00000070882.13"	1221	1098	1189	1093	1417	1706	1457	1394
"ENSG00000021762.20"	239	269	273	281	263	237	261	253
"ENSG00000079156.17"	314	271	330	334	156	178	147	150
"ENSG00000006025.12"	246	267	248	248	305	331	281	317
"ENSG00000091039.17"	2524	2061	2522	2401	1855	2092	1904	1766
"ENSG00000117859.19"	1726	1459	1626	1536	1316	1429	1338	1210
"ENSG00000170909.14"	3	0	0	0	0	0	0	0
"ENSG00000275736.4"	0	7	7	1	1	0	0	1
"ENSG00000116885.18"	75	33	56	64	89	106	93	117
"ENSG00000132823.11"	466	420	515	563	351	414	399	322
"ENSG00000092094.11"	322	368	374	341	206	253	220	206
"ENSG00000128694.12"	134	151	220	137	84	99	90	77
"ENSG00000140961.14"	150	114	148	136	325	443	352	377
"ENSG00000164823.11"	607	483	584	533	343	437	369	298
"ENSG00000099985.4"	0	0	2	0	0	3	0	0
"ENSG00000145623.13"	1782	1413	1565	1563	1650	1836	1692	1584
"ENSG00000143867.7"	206	234	235	213	292	330	298	300
"ENSG00000164920.10"	38	32	35	24	47	35	44	40
"ENSG00000228474.6"	1076	1162	1396	1491	1870	2089	2069	1909
"ENSG00000198856.13"	1036	948	1126	1110	1798	2063	2024	1718
"ENSG00000243775.2"	2	2	2	1	2	3	1	1
"ENSG00000219790.3"	0	1	0	0	2	2	2	0
"ENSG00000226801.2"	0	0	0	1	0	0	0	0
"ENSG00000134996.12"	415	373	398	389	401	474	461	380
"ENSG00000081087.16"	1074	1018	1171	1075	2060	2305	2040	1777
"ENSG00000188729.7"	0	0	0	0	1	0	0	0
"ENSG00000155719.18"	7	6	1	3	2	2	3	3
"ENSG00000257838.6"	0	0	0	0	4	3	2	2
"ENSG00000115155.19"	0	0	0	0	0	0	0	0
"ENSG00000188162.12"	0	2	0	0	0	0	0	0
"ENSG00000165899.12"	3	3	2	4	7	8	3	7
"ENSG00000178602.8"	0	1	0	3	0	1	1	1
"ENSG00000171540.8"	0	0	0	0	0	0	0	1
"ENSG00000167770.13"	1334	1404	1719	1617	1435	1732	1643	1629
"ENSG00000089723.10"	41	52	50	0	79	54	78	76
"ENSG00000277276.3"	1	0	0	56	0	12	12	0
"ENSG00000165312.7"	52	54	83	106	62	78	81	59
"ENSG00000169914.6"	318	291	349	319	220	236	178	208
"ENSG00000164164.17"	2009	1720	1912	1701	1406	1578	1251	1324
"ENSG00000068308.15"	1150	1112	1277	1207	1378	1595	1444	1343
"ENSG00000189401.3"	2	3	5	3	1	0	8	4
"ENSG00000155100.11"	471	387	444	412	299	361	324	265
"ENSG00000169918.10"	3	1	1	0	2	3	0	1
"ENSG00000264522.6"	918	797	895	894	787	829	685	744
"ENSG00000154124.6"	553	410	515	499	341	349	301	321
"ENSG00000145569.6"	3	3	1	3	2	1	2	0
"ENSG00000115507.10"	31	26	47	30	15	28	13	23
"ENSG00000165588.19"	337	353	362	364	187	210	209	208
"ENSG00000262664.3"	466	535	597	603	506	550	673	471
"ENSG00000187950.9"	0	0	1	0	0	0	0	0
"ENSG00000183378.13"	0	0	0	0	0	0	0	1
"ENSG00000085465.13"	5	14	1	1	3	12	3	11
"ENSG00000105261.8"	0	1	0	1	0	0	0	0
"ENSG00000155463.14"	1551	1516	1769	1679	1721	2073	2033	1693
"ENSG00000083720.13"	1754	1482	1741	1704	846	967	962	810
"ENSG00000198754.5"	0	0	0	0	0	0	0	0
"ENSG00000162881.7"	1	2	0	2	0	0	0	2
"ENSG00000204237.5"	274	342	393	359	345	408	410	335
"ENSG00000154814.14"	166	179	154	144	87	99	100	85
"ENSG00000164830.19"	629	578	650	579	517	491	464	420
"ENSG00000151093.8"	95	131	147	121	85	116	134	111
"ENSG00000172939.9"	2456	2227	2473	2461	2081	2334	2047	2009
"ENSG00000180914.11"	3497	3082	3553	3472	7998	9121	8277	7659
"ENSG00000109991.10"	0	0	0	0	0	0	0	0
"ENSG00000135124.16"	135	188	196	179	176	222	207	174
"ENSG00000083454.23"	184	188	179	182	478	547	503	457
"ENSG00000257950.3"	87	83	67	108	55	69	79	47
"ENSG00000099957.17"	81	86	91	76	223	167	189	211
"ENSG00000206145.9"	1	0	0	0	0	0	1	0
"ENSG00000089041.17"	6	7	3	4	1	9	4	2
"ENSG00000169860.7"	19	19	14	33	14	14	22	12
"ENSG00000078589.13"	0	0	0	1	3	2	0	0
"ENSG00000244165.2"	87	96	126	86	116	140	111	117
"ENSG00000169313.10"	1	0	0	0	0	0	0	0
"ENSG00000181631.7"	0	0	0	0	0	0	0	0
"ENSG00000174944.9"	0	0	0	0	0	0	1	0
"ENSG00000175591.12"	10	9	3	12	9	23	10	14
"ENSG00000186912.7"	1	1	0	1	0	0	0	0
"ENSG00000171631.16"	16	17	11	6	6	13	9	13
"ENSG00000182162.11"	11	8	2	3	5	8	6	7
"ENSG00000117385.16"	1724	1627	1922	1912	2463	2734	2583	2311
"ENSG00000090530.10"	687	548	811	784	1421	1571	1528	1362
"ENSG00000110811.20"	2842	2962	3492	3411	3587	4164	3994	3656
"ENSG00000141696.13"	1013	1177	1298	1412	1668	2046	1862	1756
"ENSG00000122884.13"	725	775	923	847	1002	1167	1130	1036
"ENSG00000072682.20"	1003	908	1196	1169	1922	2215	2049	1841
"ENSG00000149380.12"	17	12	23	13	10	27	11	18
"ENSG00000185624.16"	14960	15629	17025	16833	19488	21949	20742	19326
"ENSG00000178467.18"	668	680	710	696	836	1031	866	809
"ENSG00000170515.14"	4788	4168	5041	4766	3313	3634	3598	3145
"ENSG00000230457.3"	4	0	1	1	0	0	0	0
"ENSG00000175575.13"	312	315	332	405	289	402	321	313
"ENSG00000187866.10"	368	310	386	371	372	371	383	335
"ENSG00000156504.17"	1354	1049	1264	1174	552	649	584	550
"ENSG00000156500.16"	233	212	239	180	140	183	137	157
"ENSG00000070756.17"	25993	22939	26669	25901	24221	27871	25646	23245
"ENSG00000101104.13"	258	245	209	191	113	165	94	147
"ENSG00000231707.4"	0	2	1	0	0	0	0	1
"ENSG00000228810.1"	0	1	0	0	0	0	0	0
"ENSG00000255642.1"	0	0	0	0	0	0	1	1
"ENSG00000151846.9"	0	0	0	1	0	1	0	1
"ENSG00000090621.15"	6798	6260	6837	6829	6775	7783	7340	7104
"ENSG00000254535.4"	42	23	27	21	13	6	10	15
"ENSG00000100836.11"	2452	2613	2960	2887	1567	1749	1583	1613
"ENSG00000213018.2"	2	0	2	0	0	0	2	0
"ENSG00000255875.2"	0	0	0	1	0	0	0	0
"ENSG00000065600.13"	159	167	219	201	248	294	277	225
"ENSG00000112530.12"	0	0	0	0	0	0	0	0
"ENSG00000163138.19"	227	183	194	201	120	171	145	147
"ENSG00000175115.13"	2269	1932	2129	2054	1919	2092	1962	1869
"ENSG00000179364.15"	1128	1106	1158	1099	1125	1259	1195	1262
"ENSG00000124507.11"	0	1	0	0	0	0	0	0
"ENSG00000100266.19"	1594	1595	1689	1770	1248	1359	1259	1215
"ENSG00000165912.16"	739	870	1023	968	1230	1156	1205	1188
"ENSG00000281459.3"	26	27	25	22	65	87	86	89
"ENSG00000117115.13"	0	0	0	0	0	0	0	0
"ENSG00000280549.1"	10	11	10	16	14	4	6	7
"ENSG00000280908.2"	1	0	2	1	0	0	0	0
"ENSG00000280949.1"	0	0	0	0	0	0	0	0
"ENSG00000006712.15"	1356	1331	1548	1545	1053	1234	1202	1093
"ENSG00000007168.14"	3831	3527	4034	3853	3518	3971	3448	3144
