"DMSO_1"	"DMSO_2"	"DMSO_3"	"DMSO_4"	"DRUGX_1"	"DRUGX_2"	"DRUGX_3"	"DRUGX_4"
"ENSG00000023839.12"	17	11	16	8	8	11	4	7
"ENSG00000108846.16"	74	81	86	75	127	127	147	116
"ENSG00000125257.16"	831	683	851	811	587	726	629	641
"ENSG00000114770.17"	693	664	650	605	790	977	789	828
"ENSG00000275331.5"	17	16	16	14	29	21	29	20
"ENSG00000091262.17"	0	1	0	0	0	0	0	1
"ENSG00000256340.11"	0	0	0	0	0	2	0	0
"ENSG00000006071.16"	0	2	0	2	1	2	0	2
"ENSG00000069431.14"	142	82	83	102	131	146	113	110
"ENSG00000101986.12"	302	302	322	373	604	621	608	566
"ENSG00000173208.4"	0	0	0	0	1	1	0	0
"ENSG00000117528.14"	1252	1149	1331	1311	1120	1266	1130	871
"ENSG00000119688.21"	416	347	411	355	289	382	326	322
"ENSG00000164163.11"	3468	3001	3504	3361	2641	2966	2774	2346
"ENSG00000204574.14"	484	645	419	529	541	603	294	388
"ENSG00000236149.9"	62	0	16	73	0	0	0	0
"ENSG00000225989.9"	1743	1664	2030	1788	1441	1671	1872	1534
"ENSG00000033050.9"	1632	1498	1796	1727	1751	1886	1896	1820
"ENSG00000285292.1"	526	489	467	474	549	568	591	417
"ENSG00000161204.12"	832	843	936	972	1132	1255	1190	1162
"ENSG00000160179.19"	0	0	0	0	0	0	0	1
"ENSG00000118777.12"	84	66	81	96	26	42	42	31
"ENSG00000172350.10"	9	8	5	3	9	5	12	9
"ENSG00000138075.14"	0	1	0	0	0	1	0	0
"ENSG00000143921.9"	3	3	6	10	3	2	9	2
"ENSG00000143994.14"	5	5	8	2	1	4	5	1
"ENSG00000144827.9"	629	599	712	738	528	559	641	566
"ENSG00000106077.19"	341	333	402	367	201	248	202	228
"ENSG00000100997.20"	1791	1868	2041	2143	1810	2092	2036	1837
"ENSG00000131969.15"	5	6	6	3	4	4	2	10
"ENSG00000139826.6"	275	245	306	273	284	347	354	289
"ENSG00000248487.10"	184	185	191	180	197	210	223	194
"ENSG00000114786.16"	10	52	42	25	0	22	28	15
"ENSG00000114779.20"	460	480	451	561	524	601	574	562
"ENSG00000168792.5"	418	397	388	370	324	433	439	403
"ENSG00000231488.9"	356	431	471	450	596	639	610	621
"ENSG00000204427.12"	1	6	3	0	0	6	0	3
"ENSG00000206403.11"	1	0	0	0	0	0	0	1
"ENSG00000183260.7"	136	135	157	158	117	155	112	151
"ENSG00000129968.17"	1566	1836	2109	2155	2040	2378	2311	2081
"ENSG00000198658.4"	1	0	2	0	0	1	0	0
"ENSG00000250536.1"	0	0	0	1	0	0	0	0
"ENSG00000263366.2"	0	1	0	0	0	0	0	0
"ENSG00000107362.14"	341	290	350	354	233	333	294	259
"ENSG00000136379.12"	532	464	613	544	288	347	325	261
"ENSG00000164074.16"	179	143	154	147	113	147	143	105
"ENSG00000140526.18"	3175	2673	2702	2688	2674	2788	2592	2598
"ENSG00000158201.10"	216	174	204	188	52	71	67	55
"ENSG00000100439.11"	787	784	899	849	1287	1535	1403	1242
"ENSG00000011198.10"	995	928	1058	1083	1087	1192	1229	1023
"ENSG00000163686.15"	211	187	186	171	186	240	188	194
"ENSG00000127220.6"	380	392	389	456	351	434	426	409
"ENSG00000136754.18"	993	878	1053	952	1141	1315	1152	1112
"ENSG00000271484.1"	0	0	0	0	0	0	1	0
"ENSG00000138443.17"	2138	1779	2043	1921	1467	1574	1459	1325
"ENSG00000108798.9"	0	0	0	0	0	0	0	1
"ENSG00000154175.18"	36	21	16	30	47	62	53	38
"ENSG00000119328.12"	215	154	196	176	245	269	234	219
"ENSG00000097007.20"	4772	4480	4714	4726	4216	4440	4050	4207
"ENSG00000143322.22"	3873	3013	3411	3440	4446	4721	4452	4276
"ENSG00000099204.22"	933	788	808	833	1116	1228	1019	993
"ENSG00000163995.21"	1	0	0	1	3	3	2	0
"ENSG00000173210.20"	1796	1633	1751	1713	1590	1806	1751	1787
"ENSG00000175164.16"	0	0	0	0	1	0	1	0
"ENSG00000159842.16"	1074	997	975	1060	1256	1288	1281	1194
"ENSG00000276016.4"	3298	3225	3395	3431	2864	3022	2848	3100
"ENSG00000278741.4"	1	3	12	12	5	2	6	0
"ENSG00000174429.4"	0	0	0	0	0	1	0	0
"ENSG00000146386.8"	786	794	970	912	631	878	719	589
"ENSG00000163322.14"	281	272	252	253	209	204	234	183
"ENSG00000165660.8"	607	531	577	597	549	676	667	510
"ENSG00000146109.5"	398	418	472	522	392	439	392	328
"ENSG00000250496.2"	0	0	0	1	1	0	0	0
"ENSG00000114626.18"	350	336	395	350	248	329	318	319
"ENSG00000166016.6"	470	475	471	468	806	896	886	905
"ENSG00000151136.15"	188	184	206	196	97	134	143	137
"ENSG00000060971.19"	606	688	752	825	1008	1127	1013	1003
"ENSG00000167315.18"	489	430	448	512	308	305	302	263
"ENSG00000278540.5"	1995	1454	1679	1667	1548	1698	1810	2284
"ENSG00000275176.4"	1084	1167	1010	1045	1264	929	754	472
"ENSG00000076555.16"	171	174	124	129	75	47	64	68
"ENSG00000111271.15"	316	256	294	297	290	380	311	285
"ENSG00000240303.8"	350	293	348	294	591	594	538	544
"ENSG00000151498.12"	372	355	434	389	376	430	387	359
"ENSG00000177646.20"	1195	1179	1231	1266	858	1049	941	885
"ENSG00000115361.8"	21	28	13	11	9	45	20	20
"ENSG00000117054.15"	724	614	793	687	552	646	634	564
"ENSG00000122971.9"	55	62	63	56	31	62	36	42
"ENSG00000196177.13"	619	578	608	597	677	708	751	628
"ENSG00000072778.20"	2677	2949	3116	2951	3278	3723	3317	3382
"ENSG00000157766.19"	0	0	0	0	0	0	1	0
"ENSG00000288169.1"	18	19	17	20	12	21	12	9
"ENSG00000114331.16"	1009	847	1012	960	1069	1261	1066	935
"ENSG00000131584.19"	1267	1371	1396	1393	998	1175	1100	1045
"ENSG00000075239.14"	1247	1206	1429	1370	1066	1169	1189	994
"ENSG00000120437.9"	1639	1509	1840	1826	1375	1640	1546	1343
"ENSG00000182827.9"	973	893	1043	1062	1485	1585	1529	1363
"ENSG00000181513.15"	138	105	150	147	140	148	126	137
"ENSG00000107897.20"	816	759	813	795	664	739	655	607
"ENSG00000230124.8"	832	832	1010	933	697	720	760	623
"ENSG00000176244.7"	239	219	239	202	59	71	60	68
"ENSG00000110455.14"	56	32	42	42	68	68	42	54
"ENSG00000102977.18"	610	651	662	700	295	301	306	294
"ENSG00000159640.17"	16	15	11	7	16	23	19	24
"ENSG00000130234.13"	0	0	1	2	0	0	0	1
"ENSG00000167769.5"	2	2	0	1	0	1	1	1
"ENSG00000177076.6"	20	22	18	16	63	62	54	77
"ENSG00000078124.13"	847	663	892	789	683	682	612	616
"ENSG00000087085.16"	4	2	4	2	8	15	16	10
"ENSG00000100813.15"	3758	3590	3785	3728	2568	3104	2553	2735
"ENSG00000144648.16"	0	1	0	1	0	0	1	1
"ENSG00000144476.6"	179	224	180	258	114	156	142	104
"ENSG00000129048.7"	2	4	0	1	0	0	2	2
"ENSG00000131473.17"	8568	8291	8466	8545	10659	11289	10485	10362
"ENSG00000153086.14"	1	1	0	1	2	1	1	0
"ENSG00000122729.19"	3273	2987	3217	3200	4122	4409	4210	3790
"ENSG00000100412.17"	1857	1677	1861	1965	2322	2567	2506	2272
"ENSG00000184227.8"	19	8	24	14	13	5	8	13
"ENSG00000162390.18"	90	69	75	70	57	75	81	72
"ENSG00000172497.9"	0	2	0	0	0	0	0	0
"ENSG00000112304.11"	231	259	268	256	300	347	299	269
"ENSG00000119673.16"	821	776	1009	1038	712	863	824	754
"ENSG00000177465.5"	13	5	7	7	9	17	14	6
"ENSG00000205669.4"	0	0	0	0	0	0	0	0
"ENSG00000097021.21"	1795	1922	2351	2129	1488	1746	1632	1489
"ENSG00000101473.17"	310	277	345	335	390	498	442	411
"ENSG00000123130.17"	1129	998	1253	1209	1125	1281	1213	1130
"ENSG00000161533.12"	823	667	735	754	1101	1252	1009	1051
"ENSG00000168306.13"	30	46	42	58	2	8	6	6
"ENSG00000087008.16"	321	356	379	377	434	391	399	432
"ENSG00000153093.21"	0	1	1	1	2	0	2	0
"ENSG00000143727.16"	1299	1195	1405	1482	1144	1324	1350	1055
"ENSG00000134575.13"	835	839	878	941	1162	1353	1241	1156
"ENSG00000014257.17"	0	0	0	0	0	1	0	0
"ENSG00000102575.14"	1	0	1	1	1	0	2	0
"ENSG00000162836.12"	201	185	223	223	168	223	175	194
"ENSG00000183760.11"	1	2	0	3	0	1	0	0
"ENSG00000283539.2"	0	0	0	0	0	0	0	0
"ENSG00000111644.8"	0	0	0	2	0	0	0	0
"ENSG00000175509.8"	0	0	0	0	0	0	0	2
"ENSG00000134940.14"	4	8	16	12	0	0	1	3
"ENSG00000103740.10"	6	12	5	3	5	2	1	7
"ENSG00000130377.14"	2	1	2	1	0	2	0	0
"ENSG00000167107.13"	240	247	264	253	400	467	384	383
"ENSG00000176715.17"	482	445	562	476	470	507	553	487
"ENSG00000183747.12"	5	2	3	3	2	8	10	3
"ENSG00000066813.14"	0	2	2	0	0	0	1	4
"ENSG00000005187.12"	21	11	8	12	10	10	4	4
"ENSG00000183549.10"	8	3	3	6	2	6	1	1
"ENSG00000173124.15"	0	0	0	0	0	0	0	0
"ENSG00000154930.15"	9	7	1	5	1	3	2	0
"ENSG00000131069.20"	485	462	522	479	500	645	528	533
"ENSG00000111058.8"	81	73	69	73	91	99	100	90
"ENSG00000143632.15"	3	1	3	0	0	2	0	1
"ENSG00000107796.13"	641	612	658	611	2384	2752	2649	2127
"ENSG00000075624.17"	142946	142570	161855	158228	127598	147950	137812	125876
"ENSG00000169067.4"	7	8	2	8	13	16	10	18
"ENSG00000188460.4"	0	0	1	0	0	0	0	0
"ENSG00000213857.3"	0	1	0	0	0	0	0	0
"ENSG00000213763.4"	0	0	0	0	0	1	0	0
"ENSG00000286676.1"	0	0	2	0	0	0	0	0
"ENSG00000185607.5"	6	7	14	2	0	2	2	0
"ENSG00000266920.1"	0	1	0	0	0	0	0	0
"ENSG00000159251.8"	0	0	0	0	2	2	0	0
"ENSG00000172900.12"	25	27	13	24	14	15	10	20
"ENSG00000184009.13"	125083	122992	139243	137488	114476	133560	127448	113633
"ENSG00000178631.7"	4	0	0	2	2	1	2	2
"ENSG00000231340.1"	6	0	7	3	1	4	2	7
"ENSG00000241305.1"	0	0	0	0	0	0	0	0
"ENSG00000230581.2"	0	0	0	0	1	3	0	2
"ENSG00000259904.1"	1	0	2	3	0	1	0	0
"ENSG00000260298.2"	0	0	0	0	0	0	0	0
"ENSG00000259315.1"	15	11	5	4	9	5	10	5
"ENSG00000229129.1"	0	0	0	0	0	0	0	0
"ENSG00000241547.1"	8	12	1	1	3	2	2	1
"ENSG00000226359.1"	1	0	0	0	0	2	1	0
"ENSG00000234996.4"	3	4	5	3	2	0	5	2
"ENSG00000215388.3"	6	3	1	0	1	2	1	4
"ENSG00000236085.1"	0	2	0	0	0	0	0	0
"ENSG00000229349.2"	0	1	0	0	0	0	0	0
"ENSG00000163017.14"	21	16	16	28	23	18	24	24
"ENSG00000288649.2"	24	35	22	22	40	37	30	25
"ENSG00000234667.2"	5	5	4	5	0	5	1	4
"ENSG00000136518.17"	1105	1101	1266	1262	413	490	466	377
"ENSG00000187003.7"	0	0	0	0	0	1	0	0
"ENSG00000148156.8"	1	0	0	0	1	0	0	0
"ENSG00000117148.8"	1	6	0	0	0	0	0	0
"ENSG00000072110.16"	16921	15762	16914	16552	23470	24684	23108	23388
"ENSG00000077522.15"	6	1	2	0	1	1	1	1
"ENSG00000282844.2"	20839	23555	24661	25350	23762	26494	22845	23657
"ENSG00000130402.14"	15086	11443	12266	12315	13402	14184	14598	14869
"ENSG00000213493.3"	0	0	0	0	0	0	0	0
"ENSG00000131966.14"	781	710	859	862	902	1013	1052	883
"ENSG00000138107.13"	5426	5390	6108	5980	5930	6481	6181	5970
"ENSG00000233370.1"	0	0	0	0	1	0	0	0
"ENSG00000115073.8"	1520	1601	1686	1795	1356	1596	1533	1431
"ENSG00000138071.15"	9568	8585	9843	9988	9703	10815	9893	8841
"ENSG00000115091.12"	8608	7615	8979	8710	8049	9479	8623	7277
"ENSG00000133627.18"	119	120	123	115	150	138	169	142
"ENSG00000106526.11"	8	10	15	14	9	7	9	10
"ENSG00000101442.10"	154	149	164	157	109	102	113	98
"ENSG00000075089.10"	277	288	315	294	197	225	251	154
"ENSG00000113812.14"	729	600	654	654	682	772	758	697
"ENSG00000184378.3"	56	38	46	66	72	87	74	52
"ENSG00000115170.16"	745	696	769	727	684	789	747	622
"ENSG00000135503.13"	392	305	404	355	366	389	430	381
"ENSG00000123612.16"	31	20	24	21	24	34	27	26
"ENSG00000121989.15"	115	116	133	87	68	85	91	71
"ENSG00000114739.14"	142	132	116	143	60	59	43	61
"ENSG00000243989.9"	483	464	561	556	489	579	510	489
"ENSG00000132744.8"	0	0	0	0	2	0	0	0
"ENSG00000119640.9"	107	118	112	145	35	52	46	44
"ENSG00000170634.13"	112	112	101	93	173	156	194	172
"ENSG00000196839.14"	152	127	164	154	147	200	199	137
"ENSG00000093072.19"	2	6	10	4	5	10	4	6
"ENSG00000140955.11"	0	0	0	2	0	0	0	0
"ENSG00000168803.16"	196	140	198	180	147	131	124	98
"ENSG00000137845.15"	2768	2505	2745	2805	2765	2990	2782	2532
"ENSG00000073670.14"	17	32	16	33	21	15	20	25
"ENSG00000148848.15"	2315	1982	2119	2065	1933	2077	1807	1818
"ENSG00000143537.14"	3121	3081	3436	3420	3697	4267	4225	3764
"ENSG00000151694.15"	1016	851	979	944	966	1101	1021	910
"ENSG00000135074.16"	3225	2974	2949	3020	4655	4942	4586	4567
